FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
,S4U01616_20170620_221132.wav,0,0,5.88,S4U01616_20170620_221132_001,20/06/2017,22:11:32,22,20/06/2017,10:11:32,10,PIPPIP,19,6,0.316,0.537977,,19,43.907,33.99,3.318,58.607,43.487,46.604,136.325,45.143,1.857,612.7,2.922,4.62,1,PIPPIP
,S4U01616_20170620_221148.wav,0,0,10.188,S4U01616_20170620_221148_001,20/06/2017,22:11:48,22,20/06/2017,10:11:48,10,PIPPIP,41,24,0.585,0.691244,,41,44.313,42.49,3.465,59.481,43.721,47.301,146.961,45.535,2.077,568.956,3.083,11.99,1,PIPPIP
,S4U01616_20170620_221208.wav,0,0,9.92,S4U01616_20170620_221208_001,20/06/2017,22:12:08,22,20/06/2017,10:12:08,10,PIPPIP,39,33,0.846,0.785593,PIPPYG,39,45.972,15.15,3.132,58.055,45.372,48.122,188.004,46.842,1.676,449.78,2.729,9.31,1,PIPPIP
,S4U01616_20170620_221229.wav,0,0,7.19,S4U01616_20170620_221229_001,20/06/2017,22:12:29,22,20/06/2017,10:12:29,10,PIPPIP,28,24,0.857,0.796695,PIPNAT,28,45.161,22.36,3.495,58.436,44.599,47.467,126.309,45.952,1.941,556.651,2.951,9.93,1,PIPPIP
,S4U01616_20170620_221255.wav,0,0,7.024,S4U01616_20170620_221255_001,20/06/2017,22:12:55,22,20/06/2017,10:12:55,10,PIPPIP,43,39,0.907,0.822102,PIPNAT,43,45.612,26.26,3.138,58.468,45.126,48.107,121.005,46.484,1.832,496.394,2.805,11.31,1,PIPPIP
,S4U01616_20170620_221314.wav,0,0,3.656,S4U01616_20170620_221314_001,20/06/2017,22:13:14,22,20/06/2017,10:13:14,10,Noise,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NoID
,S4U01616_20170620_221320.wav,0,0,15,S4U01616_20170620_221320_001,20/06/2017,22:13:20,22,20/06/2017,10:13:20,10,PIPPIP,64,55,0.859,0.852816,,64,45.801,22.43,2.954,58.203,45.189,48.23,189.437,46.489,1.799,478.827,2.657,19.81,1,PIPPIP
,S4U01616_20170620_221337.wav,0,0,8.408,S4U01616_20170620_221337_001,20/06/2017,22:13:37,22,20/06/2017,10:13:37,10,PIPPIP,40,38,0.95,0.916624,PIPNAT,40,46.453,30.12,3.113,58.788,45.873,48.825,116.735,47.402,1.788,501.896,2.758,11.48,1,PIPPIP
,S4U01616_20170620_221348.wav,0,0,6.804,S4U01616_20170620_221348_001,20/06/2017,22:13:48,22,20/06/2017,10:13:48,10,PIPPIP,24,24,1,0.858859,PIPNAT,24,45.571,25.57,3.232,57.05,44.867,47.695,144.524,46.352,1.793,485.939,2.71,7.97,1,PIPPIP
,S4U01616_20170620_221356.wav,0,0,15,S4U01616_20170620_221356_001,20/06/2017,22:13:56,22,20/06/2017,10:13:56,10,PIPPIP,65,56,0.862,0.813716,,65,47.613,29.41,3.064,59.004,46.898,49.692,232.44,48.501,1.683,442.114,2.628,18.22,1,PIPPIP
,S4U01616_20170620_221413.wav,0,0,6.762,S4U01616_20170620_221413_001,20/06/2017,22:14:13,22,20/06/2017,10:14:13,10,PIPPIP,21,18,0.857,0.737096,,21,47.008,41.01,3.082,57.728,46.529,49.176,187.67,48.025,1.606,329.745,2.657,6.76,1,PIPPIP
,S4U01616_20170620_221421.wav,0,0,8.748,S4U01616_20170620_221421_001,20/06/2017,22:14:21,22,20/06/2017,10:14:21,10,PIPPIP,31,29,0.935,0.839715,PIPPYG,31,48.939,8.82,3.529,59.885,47.849,50.497,188.376,49.334,1.863,470.357,2.872,11.11,1,PIPPIP
,S4U01616_20170620_221432.wav,0,0,15,S4U01616_20170620_221432_001,20/06/2017,22:14:32,22,20/06/2017,10:14:32,10,PIPPIP,85,65,0.765,0.780658,PIPPYG,85,48.437,11.68,3.078,60.563,47.691,50.442,170.814,49.033,1.642,486.836,2.578,27.16,1,PIPPIP
,S4U01616_20170620_221456.wav,0,0,5.484,S4U01616_20170620_221456_001,20/06/2017,22:14:56,22,20/06/2017,10:14:56,10,PIPPIP,19,14,0.737,0.825301,PIPPYG,19,49.546,8.01,2.949,59.8,48.26,51.002,190.501,50.023,1.732,447.454,2.516,6.58,1,PIPPIP
,S4U01616_20170620_221552.wav,0,0,15,S4U01616_20170620_221552_001,20/06/2017,22:15:52,22,20/06/2017,10:15:52,10,PIPPIP,59,46,0.78,0.765067,PIPPYG,59,47.817,17.44,3.031,59.241,47.325,49.895,212.218,48.427,1.533,530.154,2.662,16.48,1,PIPPIP
,S4U01616_20170620_221710.wav,0,0,5.452,S4U01616_20170620_221710_001,20/06/2017,22:17:10,22,20/06/2017,10:17:10,10,PIPPIP,9,9,1,0.923055,PIPPYG,9,47.63,43.56,2.902,59.583,47.224,49.877,208.66,48.994,1.488,566.807,2.402,2.9,1,PIPPIP
,S4U01616_20170620_221727.wav,0,0,15,S4U01616_20170620_221727_001,20/06/2017,22:17:27,22,20/06/2017,10:17:27,10,PIPPIP,62,58,0.935,0.868201,PIPNAT,62,45.827,28.41,3.54,55.57,45.098,47.534,239.269,46.567,2.007,385.88,2.94,21.27,1,PIPPIP
,S4U01616_20170620_221755.wav,0,0,15,S4U01616_20170620_221755_001,20/06/2017,22:17:55,22,20/06/2017,10:17:55,10,PIPPIP,51,46,0.902,0.823639,PIPNAT,51,45.75,29.83,3.233,55.313,45.004,47.571,256.802,46.613,1.723,440.353,2.636,17.37,1,PIPPIP
,S4U01616_20170620_221815.wav,0,0,14.908,S4U01616_20170620_221815_001,20/06/2017,22:18:15,22,20/06/2017,10:18:15,10,PIPPIP,52,46,0.885,0.801654,,52,44.795,16.53,3.506,53.191,44.237,46.402,233.1,45.575,1.84,409.232,3.053,14.83,1,PIPPIP
,S4U01616_20170620_221843.wav,0,0,11.44,S4U01616_20170620_221843_001,20/06/2017,22:18:43,22,20/06/2017,10:18:43,10,PIPPIP,43,28,0.651,0.654419,PIPNAT,43,44.102,17.61,3.726,56.732,43.25,46.212,205.208,44.701,2.41,541.53,3.278,13.43,1,PIPPIP
,S4U01616_20170620_221907.wav,0,0,15,S4U01616_20170620_221907_001,20/06/2017,22:19:07,22,20/06/2017,10:19:07,10,PIPPIP,42,37,0.881,0.890625,PIPPYG,42,48.522,27.26,2.735,60.851,48,50.942,346.751,49.525,1.502,528.679,2.483,11.21,1,PIPPIP
,S4U01616_20170620_221926.wav,0,0,5.232,S4U01616_20170620_221926_001,20/06/2017,22:19:26,22,20/06/2017,10:19:26,10,PIPPIP,5,4,0.8,0.887562,PIPPYG,5,48.913,2.49,2.819,55.636,47.81,49.947,377.372,49.472,1.832,359.241,2.452,1.73,1,PIPPIP
,S4U01616_20170620_221933.wav,0,0,15,S4U01616_20170620_221933_001,20/06/2017,22:19:33,22,20/06/2017,10:19:33,10,PIPPIP,55,30,0.545,0.522391,PIPPYG,55,51.851,21.54,3.136,64.08,51.148,54.106,273.523,52.78,1.623,524.197,2.723,17.21,1,PIPPIP-PIPPYG
,S4U01616_20170620_221950.wav,0,0,12.878,S4U01616_20170620_221950_001,20/06/2017,22:19:50,22,20/06/2017,10:19:50,10,PIPPIP,33,25,0.758,0.782705,PIPPYG,33,48.705,24.18,3.281,69.535,47.956,52.53,294.213,49.481,2.021,624.474,2.879,10.79,1,PIPPIP
,S4U01616_20170620_222005.wav,0,0,15,S4U01616_20170620_222005_001,20/06/2017,22:20:05,22,20/06/2017,10:20:05,10,PIPPIP,59,39,0.661,0.615414,,59,51.038,26.14,3.014,64.972,50.385,53.692,252.085,52.088,1.626,565.622,2.584,20.71,1,PIPPIP-PIPPYG
,S4U01616_20170620_222022.wav,0,0,4.276,S4U01616_20170620_222022_001,20/06/2017,22:20:22,22,20/06/2017,10:20:22,10,PIPPIP,8,8,1,0.902628,PIPPYG,8,47.923,14.61,3.387,54.212,47.146,49.167,216.569,48.282,2.035,248.158,2.908,4.03,1,PIPPIP
,S4U01616_20170620_222028.wav,0,0,15,S4U01616_20170620_222028_001,20/06/2017,22:20:28,22,20/06/2017,10:20:28,10,PIPPIP,50,43,0.86,0.775157,PIPPYG,50,48.686,42.34,2.927,63.276,48.225,51.632,290.022,49.992,1.699,593.413,2.625,13.95,1,PIPPIP
,S4U01616_20170620_222046.wav,0,0,4.004,S4U01616_20170620_222046_001,20/06/2017,22:20:46,22,20/06/2017,10:20:46,10,PIPPIP,7,6,0.857,0.778017,,7,49.222,2.09,3.349,71.128,48.631,53.386,119.116,50.043,2.11,655.083,2.917,2.29,1,PIPPIP
,S4U01616_20170620_222055.wav,0,0,15,S4U01616_20170620_222055_001,20/06/2017,22:20:55,22,20/06/2017,10:20:55,10,PIPPIP,61,52,0.852,0.784394,PIPPYG,61,48.823,13.92,3.114,62.904,48.077,51.396,249.447,49.596,1.765,509.667,2.774,19.81,1,PIPPIP
,S4U01616_20170620_222113.wav,0,0,13.19,S4U01616_20170620_222113_001,20/06/2017,22:21:13,22,20/06/2017,10:21:13,10,PIPPIP,50,35,0.7,0.645457,PIPPYG,50,49.208,30.63,2.805,59.644,48.632,51.208,213.859,49.892,1.562,491.175,2.357,16.39,1,PIPPIP
,S4U01616_20170620_222130.wav,0,0,11.394,S4U01616_20170620_222130_001,20/06/2017,22:21:30,22,20/06/2017,10:21:30,10,PIPPIP,45,43,0.956,0.835425,PIPPYG,45,47.131,24.94,3.087,57.699,46.583,49.189,144.763,48.075,1.607,475.638,2.709,13.54,1,PIPPIP
,S4U01616_20170620_222147.wav,0,0,15,S4U01616_20170620_222147_001,20/06/2017,22:21:47,22,20/06/2017,10:21:47,10,PIPPIP,74,66,0.892,0.836384,PIPPYG,74,48.682,13.18,3.326,64.732,47.94,51.367,203.59,49.39,1.847,530.14,2.885,18.46,1,PIPPIP
,S4U01616_20170620_222204.wav,0,0,15,S4U01616_20170620_222204_001,20/06/2017,22:22:04,22,20/06/2017,10:22:04,10,PIPPIP,69,62,0.899,0.847516,PIPPYG,69,48.533,30.6,3.165,63.006,47.857,51.172,215.563,49.402,1.893,568.046,2.807,19.99,1,PIPPIP
,S4U01616_20170620_222226.wav,0,0,15,S4U01616_20170620_222226_001,20/06/2017,22:22:26,22,20/06/2017,10:22:26,10,PIPPIP,56,47,0.839,0.856447,PIPPYG,56,48.485,26.08,3.141,60.226,47.809,50.636,260.474,49.418,1.687,491.665,2.703,18.63,1,PIPPIP
,S4U01616_20170620_222243.wav,0,0,15,S4U01616_20170620_222243_001,20/06/2017,22:22:43,22,20/06/2017,10:22:43,10,PIPPIP,70,62,0.886,0.836926,PIPPYG,70,48.384,25.48,3.248,63.865,47.838,51.173,208.311,49.334,1.833,591.51,2.872,19.33,1,PIPPIP
,S4U01616_20170620_222300.wav,0,0,4.684,S4U01616_20170620_222300_001,20/06/2017,22:23:00,22,20/06/2017,10:23:00,10,PIPPIP,9,9,1,0.886334,,9,48.142,11.64,3.051,60.698,47.501,50.339,148.567,48.609,1.811,563.648,2.709,2.58,1,PIPPIP
,S4U01616_20170620_222306.wav,0,0,6.178,S4U01616_20170620_222306_001,20/06/2017,22:23:06,22,20/06/2017,10:23:06,10,PIPPIP,15,14,0.933,0.901758,PIPPYG,15,48.07,31.5,3.287,59.783,47.343,50.185,181.741,48.65,1.913,501.471,2.829,5.25,1,PIPPIP
,S4U01616_20170620_222314.wav,0,0,6.122,S4U01616_20170620_222314_001,20/06/2017,22:23:14,22,20/06/2017,10:23:14,10,PIPPIP,23,16,0.696,0.72684,PIPPYG,23,49.185,-22.28,3.033,60.577,48.163,51.13,271.427,49.26,1.914,466.42,2.662,9.18,1,PIPPIP
,S4U01616_20170620_222327.wav,0,0,15,S4U01616_20170620_222327_001,20/06/2017,22:23:27,22,20/06/2017,10:23:27,10,PIPPIP,44,39,0.886,0.835178,PIPPYG,44,48.236,24.14,3.096,58.731,47.611,50.255,339.591,49.014,1.639,449.626,2.622,12.24,1,PIPPIP
,S4U01616_20170620_222344.wav,0,0,15,S4U01616_20170620_222344_001,20/06/2017,22:23:44,22,20/06/2017,10:23:44,10,PIPPIP,63,58,0.921,0.806839,PIPPYG,63,47.933,27.15,3.041,60.231,47.3,50.26,234.584,49.103,1.478,477.317,2.661,16.44,1,PIPPIP
,S4U01616_20170620_222401.wav,0,0,15,S4U01616_20170620_222401_001,20/06/2017,22:24:01,22,20/06/2017,10:24:01,10,PIPPIP,62,58,0.935,0.85276,PIPPYG,62,48.386,13.65,3.127,59.427,47.722,50.386,236.465,49.132,1.545,495.845,2.604,17.71,1,PIPPIP
,S4U01616_20170620_222418.wav,0,0,3.2,S4U01616_20170620_222418_001,20/06/2017,22:24:18,22,20/06/2017,10:24:18,10,PIPPIP,5,5,1,0.943359,PIPPYG,5,47.508,22.16,3.027,54.953,47.074,49.016,116.826,48.554,1.46,391.324,2.827,1.36,1,PIPPIP
,S4U01616_20170620_222423.wav,0,0,7.11,S4U01616_20170620_222423_001,20/06/2017,22:24:23,22,20/06/2017,10:24:23,10,PIPPIP,22,19,0.864,0.811637,PIPPYG,22,48.792,16.63,2.902,61.886,47.86,51.174,187.604,49.399,1.586,576.576,2.592,7.98,1,PIPPIP
,S4U01616_20170620_222432.wav,0,0,7.002,S4U01616_20170620_222432_001,20/06/2017,22:24:32,22,20/06/2017,10:24:32,10,PIPPIP,16,14,0.875,0.766864,PIPPYG,16,48.872,19.07,3.308,64.273,48.352,51.733,276.66,50.125,1.586,562.286,2.591,5.69,1,PIPPIP
,S4U01616_20170620_222441.wav,0,0,15,S4U01616_20170620_222441_001,20/06/2017,22:24:41,22,20/06/2017,10:24:41,10,PIPPIP,58,47,0.81,0.79519,PIPPYG,58,48.673,33.06,3.182,60.26,47.999,50.893,260.726,49.612,1.665,438.165,2.706,17.53,1,PIPPIP
,S4U01616_20170620_222458.wav,0,0,15,S4U01616_20170620_222458_001,20/06/2017,22:24:58,22,20/06/2017,10:24:58,10,PIPPIP,98,77,0.786,0.734548,PIPNAT,98,46.286,10.88,3.323,58.568,45.557,48.333,148.209,46.848,1.856,489.631,2.873,30.25,1,PIPPIP
,S4U01616_20170620_222515.wav,0,0,3.776,S4U01616_20170620_222515_001,20/06/2017,22:25:15,22,20/06/2017,10:25:15,10,PIPPIP,8,6,0.75,0.777917,PIPPYG,8,48.673,45.65,3.095,64.472,48.278,51.558,94.823,50.347,1.585,706.669,2.761,2.47,1,PIPPIP
,S4U01616_20170620_222524.wav,0,0,15,S4U01616_20170620_222524_001,20/06/2017,22:25:24,22,20/06/2017,10:25:24,10,PIPPIP,71,67,0.944,0.878492,PIPPYG,71,48.485,11.39,3.292,61.883,47.725,50.77,206.565,49.116,1.942,569.176,2.894,22.38,1,PIPPIP
,S4U01616_20170620_222544.wav,0,0,14.964,S4U01616_20170620_222544_001,20/06/2017,22:25:44,22,20/06/2017,10:25:44,10,PIPPIP,64,49,0.766,0.744659,PIPPYG,64,48.38,-2.93,3.283,60.854,47.476,50.36,198.835,48.804,1.882,517.774,2.844,21.27,1,PIPPIP
,S4U01616_20170620_222601.wav,0,0,9.086,S4U01616_20170620_222601_001,20/06/2017,22:26:01,22,20/06/2017,10:26:01,10,PIPPIP,25,18,0.72,0.818697,PIPPYG,25,48.657,43.67,2.956,60.439,48.016,51.142,297.111,49.688,1.74,524.606,2.53,9.82,1,PIPPIP
,S4U01616_20170620_222612.wav,0,0,15,S4U01616_20170620_222612_001,20/06/2017,22:26:12,22,20/06/2017,10:26:12,10,PIPPIP,99,71,0.717,0.595511,,99,47.008,10.11,3.537,59.971,46.184,49.091,152.308,47.495,2.098,521.963,3.022,31.21,1,PIPPIP
,S4U01616_20170620_222629.wav,0,0,15,S4U01616_20170620_222629_001,20/06/2017,22:26:29,22,20/06/2017,10:26:29,10,PIPPIP,74,59,0.797,0.783022,PIPPYG,74,48.856,28.5,3.083,61.698,48.134,51.253,199.483,49.698,1.727,514.997,2.638,24.22,1,PIPPIP
,S4U01616_20170620_222646.wav,0,0,13.356,S4U01616_20170620_222646_001,20/06/2017,22:26:46,22,20/06/2017,10:26:46,10,PIPPIP,49,44,0.898,0.859309,PIPPYG,49,48.482,24.74,3.176,60.329,47.999,50.642,238.078,49.329,1.787,444.572,2.874,14.53,1,PIPPIP
,S4U01616_20170620_222701.wav,0,0,15,S4U01616_20170620_222701_001,20/06/2017,22:27:01,22,20/06/2017,10:27:01,10,PIPPIP,110,64,0.582,0.609333,PIPNAT,110,46.137,27.96,3.375,58.562,45.42,48.514,136.6,46.931,1.926,447.315,2.898,32.4,1,PIPPIP
,S4U01616_20170620_222720.wav,0,0,15,S4U01616_20170620_222720_001,20/06/2017,22:27:20,22,20/06/2017,10:27:20,10,PIPPIP,62,44,0.71,0.746428,PIPPYG,62,48.173,20.72,3.461,60.789,47.373,50.502,215.781,48.923,2.027,495.299,3.015,19.47,1,PIPPIP
,S4U01616_20170620_222739.wav,0,0,15,S4U01616_20170620_222739_001,20/06/2017,22:27:39,22,20/06/2017,10:27:39,10,PIPPIP,87,56,0.644,0.621083,,87,47.471,29.6,3.213,57.224,46.755,49.429,164.29,48.341,1.763,388.966,2.685,28,1,PIPPIP
,S4U01616_20170620_222756.wav,0,0,15,S4U01616_20170620_222756_001,20/06/2017,22:27:56,22,20/06/2017,10:27:56,10,PIPPIP,103,74,0.718,0.680224,PIPNAT,103,46.129,15.88,3.384,58.159,45.395,48.364,144.81,46.875,1.879,441.918,2.897,34.48,1,PIPPIP
,S4U01616_20170620_222813.wav,0,0,15,S4U01616_20170620_222813_001,20/06/2017,22:28:13,22,20/06/2017,10:28:13,10,PIPPIP,54,49,0.907,0.884385,PIPPYG,54,48.693,18.69,3.229,62.979,48.036,51.321,269.283,49.583,1.805,548.043,2.821,15.36,1,PIPPIP
